频繁模式：1,2, 支持度为：35117
频繁模式：2,1,6,5,3,4, 支持度为：90
频繁模式：4,3,6,5,1,2, 支持度为：128
频繁模式：4,3,6,5,2,1, 支持度为：124
频繁模式：3,1,4,2,5,6, 支持度为：101
频繁模式：3,1,4,2,6,5, 支持度为：106
频繁模式：3,1,5,2,6,4, 支持度为：89
频繁模式：3,1,5,2,4,6, 支持度为：82
频繁模式：5,2,6,3,4,1, 支持度为：91
频繁模式：4,1,5,3,2,6, 支持度为：82
频繁模式：5,2,6,4,3,1, 支持度为：86
频繁模式：5,3,6,4,1,2, 支持度为：164
频繁模式：5,3,6,4,2,1, 支持度为：103
频繁模式：3,2,4,1,5,6, 支持度为：102
频繁模式：3,2,4,1,6,5, 支持度为：86
频繁模式：3,2,5,1,6,4, 支持度为：84
频繁模式：3,2,5,1,4,6, 支持度为：80
频繁模式：4,3,6,2,5,1, 支持度为：92
频繁模式：5,4,6,1,2,3, 支持度为：89
频繁模式：5,4,6,1,3,2, 支持度为：89
频繁模式：5,4,6,2,3,1, 支持度为：100
频繁模式：5,4,6,2,1,3, 支持度为：93
频繁模式：5,4,6,3,1,2, 支持度为：253
频繁模式：5,4,6,3,2,1, 支持度为：162
频繁模式：3,1,2,4,5,6, 支持度为：186
频繁模式：3,1,2,4,6,5, 支持度为：191
频繁模式：3,1,2,5,6,4, 支持度为：150
频繁模式：3,1,2,5,4,6, 支持度为：176
频繁模式：3,1,2,6,4,5, 支持度为：98
频繁模式：3,1,2,6,5,4, 支持度为：112
频繁模式：4,1,3,6,5,2, 支持度为：96
频繁模式：4,2,3,6,5,1, 支持度为：91
频繁模式：4,1,2,5,3,6, 支持度为：162
频繁模式：4,1,2,6,3,5, 支持度为：85
频繁模式：5,1,2,6,4,3, 支持度为：80
频繁模式：4,1,3,5,2,6, 支持度为：130
频繁模式：4,1,3,6,2,5, 支持度为：95
频繁模式：5,2,4,6,3,1, 支持度为：82
频繁模式：5,3,4,6,1,2, 支持度为：88
频繁模式：5,3,4,6,2,1, 支持度为：93
频繁模式：4,1,2,3,5,6, 支持度为：145
频繁模式：4,1,2,3,6,5, 支持度为：110
频繁模式：5,1,2,3,4,6, 支持度为：104
频繁模式：6,1,2,3,5,4, 支持度为：95
频繁模式：5,1,2,4,3,6, 支持度为：103
频繁模式：6,1,2,4,3,5, 支持度为：99
频繁模式：6,1,2,5,4,3, 支持度为：87
频繁模式：5,1,3,4,2,6, 支持度为：86
频繁模式：6,1,3,4,2,5, 支持度为：106
频繁模式：6,2,4,5,3,1, 支持度为：97
频繁模式：6,2,4,5,1,3, 支持度为：85
频繁模式：6,3,4,5,1,2, 支持度为：106
频繁模式：6,3,4,5,2,1, 支持度为：147
频繁模式：4,1,3,2,5,6, 支持度为：99
频繁模式：4,1,3,2,6,5, 支持度为：91
频繁模式：5,1,4,2,6,3, 支持度为：80
频繁模式：5,1,3,2,4,6, 支持度为：81
频繁模式：6,1,3,2,4,5, 支持度为：83
频繁模式：6,2,4,3,5,1, 支持度为：91
频繁模式：6,1,5,2,3,4, 支持度为：92
频繁模式：6,1,5,3,4,2, 支持度为：85
频繁模式：5,1,4,3,2,6, 支持度为：87
频繁模式：6,1,4,3,2,5, 支持度为：91
频繁模式：6,2,5,4,3,1, 支持度为：83
频繁模式：6,2,4,3,1,5, 支持度为：92
频繁模式：6,2,5,3,1,4, 支持度为：85
频繁模式：6,2,5,4,1,3, 支持度为：98
频繁模式：6,3,5,4,1,2, 支持度为：195
频繁模式：6,3,5,4,2,1, 支持度为：117
频繁模式：4,2,3,1,5,6, 支持度为：92
频繁模式：6,3,4,2,5,1, 支持度为：80
频繁模式：6,2,4,1,3,5, 支持度为：88
频繁模式：6,3,5,1,4,2, 支持度为：95
频繁模式：6,3,5,2,4,1, 支持度为：104
频繁模式：5,3,4,1,2,6, 支持度为：98
频繁模式：6,3,4,1,2,5, 支持度为：94
频繁模式：6,3,5,1,2,4, 支持度为：94
频繁模式：6,4,5,1,2,3, 支持度为：102
频繁模式：6,4,5,1,3,2, 支持度为：129
频繁模式：6,4,5,2,3,1, 支持度为：163
频繁模式：5,3,4,2,1,6, 支持度为：86
频繁模式：6,3,4,2,1,5, 支持度为：80
频繁模式：6,3,5,2,1,4, 支持度为：89
频繁模式：6,4,5,2,1,3, 支持度为：139
频繁模式：6,4,5,3,1,2, 支持度为：255
频繁模式：6,4,5,3,2,1, 支持度为：191
频繁模式：3,2,1,4,5,6, 支持度为：137
频繁模式：3,2,1,4,6,5, 支持度为：132
频繁模式：3,2,1,5,6,4, 支持度为：90
频繁模式：3,2,1,5,4,6, 支持度为：121
频繁模式：3,2,1,6,4,5, 支持度为：104
频繁模式：4,2,1,5,3,6, 支持度为：82
频繁模式：5,4,2,6,3,1, 支持度为：92
频繁模式：5,4,3,6,2,1, 支持度为：108
频繁模式：4,2,1,3,5,6, 支持度为：121
频繁模式：4,2,1,3,6,5, 支持度为：108
频繁模式：5,2,1,3,6,4, 支持度为：83
频繁模式：5,2,1,3,4,6, 支持度为：95
频繁模式：6,2,1,3,4,5, 支持度为：81
频繁模式：6,3,2,5,4,1, 支持度为：88
频繁模式：6,4,1,5,2,3, 支持度为：84
频繁模式：6,4,1,5,3,2, 支持度为：85
频繁模式：6,4,2,5,3,1, 支持度为：94
频繁模式：6,4,3,5,1,2, 支持度为：103
频繁模式：6,4,3,5,2,1, 支持度为：139
频繁模式：4,3,1,2,5,6, 支持度为：152
频繁模式：4,3,1,2,6,5, 支持度为：113
频繁模式：5,3,1,2,6,4, 支持度为：96
频繁模式：5,4,1,2,6,3, 支持度为：82
频繁模式：5,3,1,2,4,6, 支持度为：101
频繁模式：6,3,1,2,4,5, 支持度为：110
频繁模式：6,3,1,2,5,4, 支持度为：89
频繁模式：6,4,1,2,5,3, 支持度为：159
频繁模式：6,4,1,3,5,2, 支持度为：188
频繁模式：6,4,2,3,5,1, 支持度为：98
频繁模式：5,4,1,2,3,6, 支持度为：90
频繁模式：6,4,1,2,3,5, 支持度为：107
频繁模式：6,5,1,2,3,4, 支持度为：129
频繁模式：6,5,1,2,4,3, 支持度为：147
频繁模式：6,5,1,3,4,2, 支持度为：169
频繁模式：6,5,2,3,4,1, 支持度为：146
频繁模式：6,4,1,3,2,5, 支持度为：84
频繁模式：6,5,1,3,2,4, 支持度为：91
频繁模式：6,5,1,4,2,3, 支持度为：108
频繁模式：6,5,1,4,3,2, 支持度为：100
频繁模式：6,5,2,4,3,1, 支持度为：245
频繁模式：6,5,2,3,1,4, 支持度为：92
频繁模式：6,5,2,4,1,3, 支持度为：126
频繁模式：6,5,3,4,1,2, 支持度为：196
频繁模式：6,5,3,4,2,1, 支持度为：327
频繁模式：4,3,2,1,5,6, 支持度为：81
频繁模式：4,3,2,1,6,5, 支持度为：84
频繁模式：5,3,2,1,4,6, 支持度为：88
频繁模式：6,4,3,2,5,1, 支持度为：90
频繁模式：5,4,2,1,3,6, 支持度为：91
频繁模式：6,5,2,1,3,4, 支持度为：93
频繁模式：6,5,2,1,4,3, 支持度为：80
频繁模式：6,5,3,1,4,2, 支持度为：97
频繁模式：6,5,3,2,4,1, 支持度为：133
频繁模式：5,4,3,1,2,6, 支持度为：101
频繁模式：6,4,3,1,2,5, 支持度为：102
频繁模式：6,5,3,1,2,4, 支持度为：134
频繁模式：6,5,4,1,2,3, 支持度为：174
频繁模式：6,5,4,1,3,2, 支持度为：148
频繁模式：6,5,4,2,3,1, 支持度为：236
频繁模式：6,4,3,2,1,5, 支持度为：91
频繁模式：6,5,3,2,1,4, 支持度为：98
频繁模式：6,5,4,2,1,3, 支持度为：140
频繁模式：6,5,4,3,1,2, 支持度为：296
频繁模式：6,5,4,3,2,1, 支持度为：351
频繁模式：1,2,3,4,5,6,7, 支持度为：129
频繁模式：1,2,3,4,5,7,6, 支持度为：126
频繁模式：1,2,4,3,5,7,6, 支持度为：129
频繁模式：1,3,4,2,5,7,6, 支持度为：83
频繁模式：5,7,6,3,4,2,1, 支持度为：127
频繁模式：3,1,2,4,6,5,7, 支持度为：88
频繁模式：7,6,3,5,4,1,2, 支持度为：96
频繁模式：7,6,4,5,3,1,2, 支持度为：122
频繁模式：7,6,5,4,3,1,2, 支持度为：133
频繁模式：7,6,5,4,3,2,1, 支持度为：85
